run,rounds_completed,termination_reason,final_price,input_tokens,output_tokens,cost_usd
1,3,agreement,16000.0,5336,4274,0.0401948
2,3,agreement,15850.0,5325,5101,0.0477188
3,3,agreement,16000.0,5283,4412,0.0413728
4,3,agreement,17000.0,5568,4233,0.0396747
5,3,agreement,16250.0,5584,4977,0.046429200000000004
6,3,agreement,16400.0,5546,5534,0.0515512
7,3,agreement,16200.0,5457,5436,0.05061160000000001
8,2,agreement,15850.0,3224,3714,0.0341431
9,3,agreement,16000.0,5402,4314,0.0405887
10,3,agreement,16000.0,5431,5136,0.047884100000000006
11,3,agreement,16000.0,5408,5559,0.05178440000000001
12,3,agreement,16000.0,5491,5059,0.047274500000000004
13,3,agreement,16000.0,5328,4528,0.042514500000000004
14,3,agreement,16400.0,5552,5314,0.0495381
15,3,agreement,16000.0,5435,5220,0.0487451
16,3,agreement,16000.0,5652,4800,0.044902
17,3,agreement,16000.0,5486,5356,0.0499041
18,2,agreement,16000.0,3272,2925,0.026992400000000003
19,3,agreement,16500.0,5476,5219,0.0486089
20,3,agreement,16000.0,5520,4332,0.0407604
21,3,agreement,16000.0,5582,4979,0.0464921
22,3,agreement,16000.0,5442,5639,0.05248010000000001
23,3,agreement,16100.0,5360,4117,0.0389144
24,3,agreement,16050.0,5645,4769,0.0445147
25,3,agreement,16000.0,5372,4662,0.0437238
26,3,agreement,15800.0,5449,5742,0.0533861
27,3,agreement,16100.0,5523,5092,0.0475892
28,3,agreement,16050.0,5425,4446,0.041631100000000004
29,3,agreement,16200.0,5367,4889,0.0458635
30,3,agreement,15800.0,5394,5163,0.0481517
31,3,agreement,15900.0,5319,4527,0.042616
32,3,agreement,16000.0,5301,4664,0.0437692
33,3,agreement,15800.0,5251,5675,0.052901699999999996
34,3,agreement,16800.0,5644,5878,0.0543868
35,3,agreement,16000.0,5499,5066,0.04726740000000001
36,3,agreement,16050.0,5587,4937,0.046056599999999996
37,3,agreement,15650.0,5522,4471,0.0419099
38,3,agreement,16000.0,5368,5101,0.04769020000000001
39,2,agreement,15850.0,3220,3757,0.0345554
40,3,agreement,16600.0,5589,4933,0.0460739
