run,rounds_completed,termination_reason,final_price,input_tokens,output_tokens,cost_usd
1,3,agreement,16000.0,5280,1125,0.0090225
2,4,agreement,16000.0,8300,1515,0.0130425
3,4,agreement,15800.0,7861,1434,0.01234875
4,3,agreement,16000.0,5257,1063,0.00872625
5,4,agreement,15700.0,8042,1474,0.0126645
6,5,agreement,16250.0,11263,1905,0.01701975
7,4,agreement,15700.0,8056,1473,0.012670500000000001
8,3,agreement,16000.0,5311,1108,0.008969250000000002
9,3,agreement,15000.0,5213,1064,0.00869775
10,3,agreement,15800.0,5647,1194,0.00960825
11,4,agreement,16250.0,7874,1436,0.0123675
12,3,agreement,16000.0,5479,1156,0.00931125
13,4,agreement,15800.0,8342,1559,0.013272
14,3,agreement,16300.0,5345,1156,0.00921075
15,3,agreement,16000.0,5440,1134,0.009183
16,3,agreement,16000.0,5268,1104,0.008919
17,3,agreement,16000.0,5622,1181,0.009531
18,3,agreement,16000.0,5379,1115,0.00905175
19,3,agreement,16250.0,5289,1076,0.00880875
20,3,agreement,16000.0,5412,1127,0.0091305
21,3,agreement,15900.0,5208,1060,0.008676
22,3,agreement,16000.0,5227,1093,0.00883875
23,4,agreement,16250.0,8575,1569,0.01349175
24,3,agreement,16250.0,5283,1105,0.008934750000000002
25,3,agreement,16000.0,5563,1163,0.009405750000000001
26,4,agreement,15900.0,8771,1583,0.01370175
27,3,agreement,16000.0,5500,1171,0.0093945
28,3,agreement,16500.0,5471,1156,0.009305250000000001
29,3,agreement,15800.0,5553,1190,0.00951975
30,3,agreement,16000.0,5417,1124,0.00912075
31,4,agreement,16500.0,7889,1442,0.01240575
32,4,agreement,15500.0,8160,1508,0.012906
33,3,agreement,16250.0,5658,1156,0.0094455
34,3,agreement,16000.0,5247,1095,0.00886275
35,4,agreement,15750.0,8034,1503,0.012789
36,3,agreement,15000.0,5286,1079,0.00882
37,3,agreement,16100.0,5583,1141,0.00932175
38,3,agreement,16000.0,5126,1046,0.0085515
39,3,agreement,16500.0,5322,1151,0.009170999999999999
40,4,agreement,15800.0,8478,1490,0.0130635
