run,rounds_completed,termination_reason,final_price,input_tokens,output_tokens,cost_usd
1,3,agreement,15500.0,5051,1018,0.00836925
2,4,agreement,15750.0,7727,1419,0.01218075
3,3,agreement,16000.0,5140,1084,0.008733
4,3,agreement,16000.0,5432,1101,0.0090285
5,3,agreement,16000.0,5229,1099,0.00886725
6,3,agreement,15800.0,5350,1086,0.008899500000000001
7,4,agreement,16000.0,7916,1449,0.0124575
8,3,agreement,16000.0,4993,1014,0.008307750000000001
9,3,agreement,16000.0,5102,1088,0.008722500000000001
10,4,agreement,16000.0,7992,1517,0.0128205
11,3,agreement,16000.0,5252,1085,0.0088215
12,3,agreement,16000.0,5005,1022,0.008352749999999999
13,3,agreement,16000.0,5202,1098,0.0088425
14,3,agreement,16500.0,5265,1117,0.00897525
15,4,agreement,16200.0,7771,1446,0.01233525
16,4,agreement,15400.0,7986,1476,0.0126315
17,4,agreement,15500.0,7969,1486,0.01266375
18,4,agreement,15000.0,8094,1437,0.012537000000000001
19,4,agreement,15750.0,8063,1484,0.01272525
20,3,agreement,16250.0,5336,1102,0.008961
21,3,agreement,16500.0,5217,1052,0.008646750000000002
22,3,agreement,15000.0,5200,1050,0.008625
23,3,agreement,15800.0,5383,1122,0.00908625
24,3,agreement,15500.0,5130,1039,0.008523000000000001
25,3,agreement,16000.0,5275,1124,0.009014250000000001
26,3,agreement,16250.0,5365,1135,0.00913125
27,3,agreement,16250.0,5361,1160,0.00924075
28,3,agreement,16500.0,5240,1100,0.008879999999999999
29,3,agreement,15500.0,5279,1095,0.00888675
30,3,agreement,16000.0,5259,1084,0.00882225
31,3,agreement,16000.0,5640,1201,0.0096345
32,3,agreement,15500.0,5354,1132,0.0091095
33,3,agreement,16000.0,5351,1121,0.00905775
34,3,agreement,16000.0,5378,1115,0.009051
35,3,agreement,16250.0,5199,1082,0.008768250000000002
36,3,agreement,16000.0,5289,1013,0.00852525
37,4,agreement,16100.0,7789,1406,0.01216875
38,3,agreement,16000.0,5418,1195,0.009441
39,3,agreement,16000.0,5295,1106,0.00894825
40,3,agreement,16500.0,5260,1137,0.0090615
