run,round,buyer_offer,seller_offer
1,1,15000.0,16500.0
1,2,15500.0,15500.0
1,3,15500.0,15500.0
2,1,15000.0,16500.0
2,2,15500.0,16000.0
2,3,15750.0,15750.0
2,4,15750.0,15750.0
3,1,15000.0,16800.0
3,2,16000.0,16000.0
3,3,16000.0,16000.0
4,1,15500.0,16500.0
4,2,15500.0,16000.0
4,3,16000.0,16000.0
5,1,15000.0,16500.0
5,2,15500.0,16000.0
5,3,16000.0,16000.0
6,1,15000.0,16500.0
6,2,15500.0,15800.0
6,3,15800.0,15800.0
7,1,15500.0,16500.0
7,2,15750.0,16200.0
7,3,16000.0,16000.0
7,4,16000.0,16000.0
8,1,15500.0,16500.0
8,2,16000.0,16000.0
8,3,16000.0,16000.0
9,1,15500.0,16500.0
9,2,16000.0,16000.0
9,3,16000.0,16000.0
10,1,15500.0,16500.0
10,2,15800.0,16200.0
10,3,15900.0,16000.0
10,4,16000.0,16000.0
11,1,15500.0,16500.0
11,2,16000.0,16000.0
11,3,16000.0,16000.0
12,1,15500.0,16500.0
12,2,16000.0,16000.0
12,3,16000.0,16000.0
13,1,15000.0,16500.0
13,2,15500.0,16000.0
13,3,16000.0,16000.0
14,1,15500.0,16800.0
14,2,16200.0,16500.0
14,3,16500.0,16500.0
15,1,15000.0,16800.0
15,2,16000.0,16400.0
15,3,16200.0,16200.0
15,4,16200.0,16200.0
16,1,15500.0,15800.0
16,2,15000.0,15500.0
16,3,15250.0,15400.0
16,4,15400.0,15400.0
17,1,15000.0,16500.0
17,2,15500.0,15800.0
17,3,15500.0,15500.0
17,4,15500.0,15500.0
18,1,15000.0,16500.0
18,2,14500.0,15500.0
18,3,15000.0,15000.0
18,4,15000.0,15000.0
19,1,15000.0,16500.0
19,2,15500.0,16000.0
19,3,15750.0,15750.0
19,4,15750.0,15750.0
20,1,15500.0,16500.0
20,2,16000.0,16250.0
20,3,16250.0,16250.0
21,1,15500.0,16800.0
21,2,16200.0,16500.0
21,3,16500.0,16500.0
22,1,15500.0,16500.0
22,2,15500.0,15000.0
22,3,15000.0,15000.0
23,1,15000.0,16500.0
23,2,15500.0,15800.0
23,3,15800.0,15800.0
24,1,15500.0,16500.0
24,2,15500.0,15500.0
24,3,15500.0,15500.0
25,1,15000.0,16500.0
25,2,15500.0,16000.0
25,3,16000.0,16000.0
26,1,15500.0,16500.0
26,2,16000.0,16250.0
26,3,16250.0,16250.0
27,1,15500.0,16500.0
27,2,16000.0,16250.0
27,3,16250.0,16250.0
28,1,15000.0,16800.0
28,2,16200.0,16500.0
28,3,16500.0,16500.0
29,1,15000.0,16800.0
29,2,15500.0,15500.0
29,3,15500.0,15500.0
30,1,15500.0,16500.0
30,2,16000.0,16000.0
30,3,16000.0,16000.0
31,1,15000.0,16500.0
31,2,15500.0,16000.0
31,3,16000.0,16000.0
32,1,15500.0,16500.0
32,2,15500.0,15500.0
32,3,15500.0,15500.0
33,1,15000.0,16500.0
33,2,15500.0,16000.0
33,3,16000.0,16000.0
34,1,15500.0,16500.0
34,2,16000.0,16000.0
34,3,16000.0,16000.0
35,1,15500.0,16500.0
35,2,16000.0,16250.0
35,3,16250.0,16250.0
36,1,15000.0,16500.0
36,2,15500.0,16000.0
36,3,16000.0,16000.0
37,1,15500.0,16500.0
37,2,16000.0,16250.0
37,3,16100.0,16100.0
37,4,16100.0,16100.0
38,1,15000.0,16500.0
38,2,15500.0,16000.0
38,3,16000.0,16000.0
39,1,15500.0,16500.0
39,2,16000.0,16000.0
39,3,16000.0,16000.0
40,1,15500.0,16800.0
40,2,16000.0,16500.0
40,3,16500.0,16500.0
