run,rounds_completed,termination_reason,final_price,input_tokens,output_tokens,cost_usd
1,3,agreement,16000.0,5446,3768,0.0355262
2,3,agreement,16000.0,5626,4480,0.0418278
3,3,agreement,16000.0,5496,4193,0.039277999999999993
4,3,agreement,16000.0,5560,4719,0.0438854
5,3,agreement,15500.0,5533,4137,0.0386649
6,3,agreement,16000.0,5275,4269,0.0399167
7,3,agreement,16000.0,5347,4488,0.0421334
8,3,agreement,15650.0,5507,4068,0.0382213
9,3,agreement,16000.0,5462,4195,0.039278600000000004
10,3,agreement,16000.0,5550,4397,0.041151099999999996
11,3,agreement,16000.0,5418,4110,0.0386324
12,3,agreement,16000.0,5506,4304,0.040257100000000004
13,3,agreement,16050.0,5696,4453,0.04162950000000001
14,3,agreement,16050.0,5457,4951,0.046017800000000005
15,3,agreement,17000.0,5353,4159,0.03899670000000001
16,3,agreement,16250.0,5448,4051,0.037937
17,3,agreement,16800.0,5374,4494,0.042215
18,3,agreement,16500.0,5274,4405,0.0412423
19,3,agreement,16050.0,5456,4521,0.042291
20,3,agreement,16000.0,5404,5351,0.04982350000000001
21,3,agreement,16000.0,5390,4320,0.0404753
22,3,agreement,16050.0,5466,4344,0.0407152
23,3,agreement,16875.0,5597,4493,0.041965999999999996
24,3,agreement,15800.0,5610,4438,0.0414742
25,2,agreement,16200.0,3181,2787,0.0256119
26,3,agreement,16250.0,5485,3731,0.035195199999999996
27,3,agreement,15900.0,5439,4688,0.0437432
28,3,agreement,16000.0,5556,4234,0.03962280000000001
29,3,agreement,16000.0,5426,4371,0.0408844
30,3,agreement,16000.0,5349,4361,0.0409669
31,3,agreement,16000.0,5367,4307,0.040466800000000004
32,3,agreement,16000.0,5405,4546,0.042601200000000006
33,3,agreement,16000.0,5494,4430,0.0414441
34,3,agreement,15850.0,5507,4127,0.0388325
35,3,agreement,16000.0,5383,4597,0.042980700000000004
36,3,agreement,15800.0,5406,4444,0.04142680000000001
37,3,agreement,16000.0,5494,4361,0.0409481
38,3,agreement,15900.0,5310,4100,0.0385822
39,3,agreement,16400.0,5603,4169,0.03899280000000001
40,3,agreement,16000.0,5474,4486,0.041925800000000006
