run,round,buyer_offer,seller_offer
1,1,15500.0,16200.0
1,2,15800.0,16000.0
1,3,16000.0,16000.0
2,1,15500.0,16200.0
2,2,15800.0,16000.0
2,3,16000.0,16000.0
3,1,15500.0,16200.0
3,2,16000.0,16000.0
3,3,16000.0,16000.0
4,1,15500.0,16200.0
4,2,15850.0,16000.0
4,3,16000.0,16000.0
5,1,14500.0,16000.0
5,2,15200.0,15500.0
5,3,15500.0,15500.0
6,1,15500.0,16200.0
6,2,15800.0,16000.0
6,3,16000.0,16000.0
7,1,15500.0,16200.0
7,2,15900.0,16000.0
7,3,16000.0,16000.0
8,1,15500.0,15800.0
8,2,15650.0,15650.0
8,3,15650.0,15650.0
9,1,15500.0,16200.0
9,2,15850.0,16000.0
9,3,16000.0,16000.0
10,1,15500.0,16200.0
10,2,16000.0,16000.0
10,3,16000.0,16000.0
11,1,15500.0,16200.0
11,2,15900.0,16000.0
11,3,16000.0,16000.0
12,1,15500.0,16500.0
12,2,16000.0,16000.0
12,3,16000.0,16000.0
13,1,15500.0,16200.0
13,2,15900.0,16050.0
13,3,16050.0,16050.0
14,1,15500.0,16200.0
14,2,15900.0,16050.0
14,3,16050.0,16050.0
15,1,16500.0,16500.0
15,2,17200.0,17000.0
15,3,17000.0,17000.0
16,1,15500.0,16500.0
16,2,16000.0,16250.0
16,3,16250.0,16250.0
17,1,16500.0,17000.0
17,2,16800.0,16800.0
17,3,16800.0,16800.0
18,1,15500.0,16800.0
18,2,16200.0,16500.0
18,3,16500.0,16500.0
19,1,15500.0,16200.0
19,2,15900.0,16050.0
19,3,16050.0,16050.0
20,1,15500.0,16200.0
20,2,15900.0,16000.0
20,3,16000.0,16000.0
21,1,15500.0,16200.0
21,2,15850.0,16000.0
21,3,16000.0,16000.0
22,1,15500.0,16200.0
22,2,15900.0,16050.0
22,3,16050.0,16050.0
23,1,16500.0,17000.0
23,2,16750.0,16875.0
23,3,16875.0,16875.0
24,1,15500.0,16000.0
24,2,15800.0,15800.0
24,3,15800.0,15800.0
25,1,15500.0,16200.0
25,2,16200.0,16200.0
26,1,15500.0,16500.0
26,2,16000.0,16250.0
26,3,16250.0,16250.0
27,1,15500.0,16200.0
27,2,15900.0,15900.0
27,3,15900.0,15900.0
28,1,15500.0,16500.0
28,2,16000.0,16000.0
28,3,16000.0,16000.0
29,1,15500.0,16500.0
29,2,16000.0,16000.0
29,3,16000.0,16000.0
30,1,15500.0,16200.0
30,2,15800.0,16000.0
30,3,16000.0,16000.0
31,1,15500.0,16200.0
31,2,16000.0,16000.0
31,3,16000.0,16000.0
32,1,15500.0,16200.0
32,2,16000.0,16000.0
32,3,16000.0,16000.0
33,1,15500.0,16200.0
33,2,15850.0,16000.0
33,3,16000.0,16000.0
34,1,15500.0,16200.0
34,2,15850.0,15850.0
34,3,15850.0,15850.0
35,1,15500.0,16200.0
35,2,16000.0,16000.0
35,3,16000.0,16000.0
36,1,15500.0,16000.0
36,2,15800.0,15800.0
36,3,15800.0,15800.0
37,1,15500.0,16500.0
37,2,16000.0,16000.0
37,3,16000.0,16000.0
38,1,15500.0,16200.0
38,2,15900.0,15900.0
38,3,15900.0,15900.0
39,1,15500.0,16800.0
39,2,16000.0,16400.0
39,3,16400.0,16400.0
40,1,15500.0,16200.0
40,2,15900.0,16000.0
40,3,16000.0,16000.0
