run,round,buyer_offer,seller_offer
1,1,16500.0,17200.0
1,2,17000.0,17100.0
1,3,17050.0,17050.0
1,4,17050.0,17050.0
2,1,16500.0,17200.0
2,2,17000.0,17100.0
2,3,17050.0,17050.0
2,4,17050.0,17050.0
3,1,16500.0,17000.0
3,2,16800.0,16900.0
3,3,16850.0,16850.0
3,4,16850.0,16850.0
4,1,16500.0,17500.0
4,2,17000.0,17200.0
4,3,17100.0,17100.0
4,4,17100.0,17100.0
5,1,16500.0,16500.0
5,2,16500.0,16500.0
6,1,16500.0,16500.0
6,2,16200.0,16350.0
6,3,16350.0,16350.0
7,1,16500.0,16500.0
7,2,15500.0,15800.0
7,3,15600.0,15700.0
7,4,15700.0,15700.0
8,1,16500.0,17500.0
8,2,17000.0,17250.0
8,3,17100.0,17100.0
8,4,17100.0,17100.0
9,1,16500.0,17500.0
9,2,16800.0,16950.0
9,3,16900.0,16900.0
9,4,16900.0,16900.0
10,1,16500.0,17500.0
10,2,17000.0,17250.0
10,3,17100.0,17200.0
10,4,17200.0,17200.0
11,1,16500.0,16500.0
11,2,15800.0,16150.0
11,3,16050.0,16050.0
11,4,16050.0,16050.0
12,1,16500.0,17000.0
12,2,16800.0,16900.0
12,3,16900.0,16900.0
13,1,16500.0,17500.0
13,2,17000.0,17000.0
13,3,17000.0,17000.0
14,1,16500.0,16500.0
14,2,17200.0,16500.0
14,3,16000.0,16250.0
14,4,16250.0,16250.0
15,1,16500.0,16500.0
15,2,16200.0,16350.0
15,3,16350.0,16350.0
16,1,16500.0,17200.0
16,2,16800.0,16950.0
16,3,16900.0,16900.0
16,4,16900.0,16900.0
17,1,16500.0,16750.0
17,2,16900.0,16900.0
17,3,16900.0,16900.0
18,1,16500.0,18500.0
18,2,17200.0,17750.0
18,3,17500.0,17500.0
18,4,17500.0,17500.0
19,1,16500.0,16800.0
19,2,16900.0,16900.0
19,3,16900.0,16900.0
20,1,16500.0,17000.0
20,2,16800.0,16950.0
20,3,16900.0,16900.0
20,4,16900.0,16900.0
21,1,16500.0,17500.0
21,2,16800.0,17200.0
21,3,17000.0,17000.0
21,4,17000.0,17000.0
22,1,16500.0,17500.0
22,2,17000.0,17250.0
22,3,17100.0,17150.0
22,4,17150.0,17150.0
23,1,16500.0,17200.0
23,2,17000.0,17000.0
23,3,17000.0,17000.0
24,1,16500.0,16500.0
24,2,17200.0,17100.0
24,3,17100.0,17100.0
25,1,16500.0,17000.0
25,2,16800.0,16900.0
25,3,16900.0,16900.0
26,1,16500.0,17200.0
26,2,16800.0,17000.0
26,3,17000.0,17000.0
27,1,16500.0,17200.0
27,2,16800.0,17000.0
27,3,17000.0,17000.0
28,1,16500.0,17200.0
28,2,16800.0,16800.0
28,3,16800.0,16800.0
29,1,16500.0,16200.0
29,2,16800.0,16000.0
29,3,16000.0,16000.0
30,1,16500.0,16500.0
30,2,17200.0,16500.0
30,3,16500.0,16500.0
31,1,16500.0,17000.0
31,2,16800.0,16950.0
31,3,16900.0,16900.0
31,4,16900.0,16900.0
32,1,16500.0,17500.0
32,2,17000.0,17000.0
32,3,17000.0,17000.0
33,1,16500.0,18500.0
33,2,17200.0,17800.0
33,3,17500.0,17500.0
33,4,17500.0,17500.0
34,1,16500.0,17500.0
34,2,17200.0,17350.0
34,3,17300.0,17300.0
34,4,17300.0,17300.0
35,1,16500.0,17500.0
35,2,17000.0,17250.0
35,3,17100.0,17200.0
35,4,17200.0,17200.0
36,1,16500.0,16800.0
36,2,16650.0,16750.0
36,3,16750.0,16750.0
37,1,16500.0,17500.0
37,2,17000.0,17000.0
37,3,17000.0,17000.0
38,1,16500.0,17200.0
38,2,16800.0,17000.0
38,3,17000.0,17000.0
39,1,16500.0,16500.0
39,2,16500.0,16500.0
40,1,16500.0,17200.0
40,2,16800.0,16950.0
40,3,16950.0,16950.0
