run,rounds_completed,termination_reason,final_price,input_tokens,output_tokens,cost_usd
1,4,agreement,17050.0,10168,2760,0.023968
2,4,agreement,17050.0,9609,2733,0.023274
3,4,agreement,16850.0,10060,2853,0.024325
4,4,agreement,17100.0,9568,2587,0.022503000000000002
5,2,agreement,16500.0,3531,1375,0.010406000000000002
6,3,agreement,16350.0,6247,2039,0.016442000000000002
7,4,agreement,15700.0,10434,2832,0.024594
8,4,agreement,17100.0,9249,2687,0.022684
9,4,agreement,16900.0,9787,2714,0.023357000000000003
10,4,agreement,17200.0,9955,2725,0.02358
11,4,agreement,16050.0,10206,2769,0.024051
12,3,agreement,16900.0,6539,2066,0.016869000000000002
13,3,agreement,17000.0,6270,2046,0.0165
14,4,agreement,16250.0,9834,2680,0.023233999999999998
15,3,agreement,16350.0,6256,2000,0.016256
16,4,agreement,16900.0,10105,2796,0.024085000000000002
17,3,agreement,16900.0,5982,1888,0.015421999999999998
18,4,agreement,17500.0,10599,2844,0.024819
19,3,agreement,16900.0,5893,1905,0.015418000000000001
20,4,agreement,16900.0,10179,2732,0.023839
21,4,agreement,17000.0,10265,2725,0.02389
22,4,agreement,17150.0,9838,2669,0.023183000000000002
23,3,agreement,17000.0,6801,2178,0.017691000000000002
24,3,agreement,17100.0,6479,2003,0.016494
25,3,agreement,16900.0,6100,1921,0.015705
26,3,agreement,17000.0,6100,1976,0.01598
27,3,agreement,17000.0,6520,2081,0.016925000000000003
28,3,agreement,16800.0,6387,2059,0.016682000000000002
29,3,agreement,16000.0,6310,2079,0.016704999999999998
30,3,agreement,16500.0,6002,1918,0.015592000000000002
31,4,agreement,16900.0,10718,2837,0.024903
32,3,agreement,17000.0,6915,2183,0.017830000000000002
33,4,agreement,17500.0,10297,2742,0.024007
34,4,agreement,17300.0,9945,2705,0.023469999999999998
35,4,agreement,17200.0,10032,2766,0.023862
36,3,agreement,16750.0,6026,1874,0.015396
37,3,agreement,17000.0,6434,2019,0.016529000000000002
38,3,agreement,17000.0,6264,1951,0.016019
39,2,agreement,16500.0,3333,1287,0.009768
40,3,agreement,16950.0,6246,2009,0.016291
